Feature,Type,Missing_Pct,Cardinality,Category,Decision,Reason
TransactionID,int64,0.0,590540,identifier,DROP,"Row identifier, not a feature"
isFraud,int8,0.0,2,target,DROP,Target label
TransactionDT,int64,0.0,96144,temporal,DROP_AS_RAW,Used for chronological ordering only
TransactionAmt,float64,0.0,6387,continuous,INCLUDE,"Transaction amount, safe at transaction time"
ProductCD,str,0.0,5,categorical,INCLUDE,"Product category, known at checkout"
card1,int64,0.0,7677,categorical,INCLUDE,"Card number proxy, freq-encoded"
card2,float64,1.4,499,categorical,INCLUDE,"Card attribute, freq-encoded"
card3,float64,0.0,74,categorical,INCLUDE,Card attribute
card4,str,0.0,4,categorical,INCLUDE,Card type (Visa/MC/etc.)
card5,float64,0.5,87,categorical,INCLUDE,Card attribute
card6,str,0.0,4,categorical,INCLUDE,Card type (debit/credit)
addr1,float64,9.0,264,categorical,INCLUDE,"Billing zip, freq-encoded"
addr2,float64,9.0,43,categorical,INCLUDE,Country code
dist1,float64,69.7,1641,continuous,INCLUDE,"Vesta distance feature, safe"
dist2,float64,91.8,916,continuous,INCLUDE,"Vesta distance feature, safe"
P_emaildomain,str,15.4,59,categorical,INCLUDE,Purchaser email domain
R_emaildomain,str,65.5,60,categorical,INCLUDE,Recipient email domain
C1,float64,0.0,varies,count_feature,INCLUDE,"Vesta historical count, backward-looking, safe"
C2,float64,0.0,varies,count_feature,INCLUDE,"Vesta historical count, backward-looking, safe"
C3,float64,0.0,varies,count_feature,INCLUDE,"Vesta historical count, backward-looking, safe"
C4,float64,0.0,varies,count_feature,INCLUDE,"Vesta historical count, backward-looking, safe"
C5,float64,0.0,varies,count_feature,INCLUDE,"Vesta historical count, backward-looking, safe"
C6,float64,0.0,varies,count_feature,INCLUDE,"Vesta historical count, backward-looking, safe"
C7,float64,0.0,varies,count_feature,INCLUDE,"Vesta historical count, backward-looking, safe"
C8,float64,0.0,varies,count_feature,INCLUDE,"Vesta historical count, backward-looking, safe"
C9,float64,0.0,varies,count_feature,INCLUDE,"Vesta historical count, backward-looking, safe"
C10,float64,0.0,varies,count_feature,INCLUDE,"Vesta historical count, backward-looking, safe"
C11,float64,0.0,varies,count_feature,INCLUDE,"Vesta historical count, backward-looking, safe"
C12,float64,0.0,varies,count_feature,INCLUDE,"Vesta historical count, backward-looking, safe"
C13,float64,0.0,varies,count_feature,INCLUDE,"Vesta historical count, backward-looking, safe"
C14,float64,0.0,varies,count_feature,INCLUDE,"Vesta historical count, backward-looking, safe"
D1,float64,0,continuous,time_delta,INCLUDE,Time since last transaction (backward-looking). Missing=0% filled with 0.
D2,float64,45.8,continuous,time_delta,INCLUDE,Time since last transaction (backward-looking). Missing=45.8% filled with 0.
D3,float64,42.7,continuous,time_delta,INCLUDE,Time since last transaction (backward-looking). Missing=42.7% filled with 0.
D4,float64,62.3,continuous,time_delta,INCLUDE,Time since last transaction (backward-looking). Missing=62.3% filled with 0.
D5,float64,65.3,continuous,time_delta,INCLUDE,Time since last transaction (backward-looking). Missing=65.3% filled with 0.
D6,float64,87.3,continuous,time_delta,INCLUDE,Time since last transaction (backward-looking). Missing=87.3% filled with 0.
D7,float64,93.9,continuous,time_delta,INCLUDE,Time since last transaction (backward-looking). Missing=93.9% filled with 0.
D8,float64,78.3,continuous,time_delta,INCLUDE,Time since last transaction (backward-looking). Missing=78.3% filled with 0.
D9,float64,78.3,continuous,time_delta,INCLUDE,Time since last transaction (backward-looking). Missing=78.3% filled with 0.
D10,float64,30.9,continuous,time_delta,INCLUDE,Time since last transaction (backward-looking). Missing=30.9% filled with 0.
D11,float64,71.2,continuous,time_delta,INCLUDE,Time since last transaction (backward-looking). Missing=71.2% filled with 0.
D12,float64,89.5,continuous,time_delta,INCLUDE,Time since last transaction (backward-looking). Missing=89.5% filled with 0.
D13,float64,90.5,continuous,time_delta,INCLUDE,Time since last transaction (backward-looking). Missing=90.5% filled with 0.
D14,float64,88.8,continuous,time_delta,INCLUDE,Time since last transaction (backward-looking). Missing=88.8% filled with 0.
D15,float64,34.0,continuous,time_delta,INCLUDE,Time since last transaction (backward-looking). Missing=34.0% filled with 0.
M1,binary_str,57.9,2 (T/F),match_flag,INCLUDE_BINARY,"Address/email match flag, computed at checkout. Encoded T=1, F=0, NA=-1."
M2,binary_str,57.9,2 (T/F),match_flag,INCLUDE_BINARY,"Address/email match flag, computed at checkout. Encoded T=1, F=0, NA=-1."
M3,binary_str,57.9,2 (T/F),match_flag,INCLUDE_BINARY,"Address/email match flag, computed at checkout. Encoded T=1, F=0, NA=-1."
M4,binary_str,48.9,2 (T/F),match_flag,INCLUDE_BINARY,"Address/email match flag, computed at checkout. Encoded T=1, F=0, NA=-1."
M5,binary_str,57.9,2 (T/F),match_flag,INCLUDE_BINARY,"Address/email match flag, computed at checkout. Encoded T=1, F=0, NA=-1."
M6,binary_str,25.7,2 (T/F),match_flag,INCLUDE_BINARY,"Address/email match flag, computed at checkout. Encoded T=1, F=0, NA=-1."
M7,binary_str,78.7,2 (T/F),match_flag,INCLUDE_BINARY,"Address/email match flag, computed at checkout. Encoded T=1, F=0, NA=-1."
M8,binary_str,78.7,2 (T/F),match_flag,INCLUDE_BINARY,"Address/email match flag, computed at checkout. Encoded T=1, F=0, NA=-1."
M9,binary_str,78.7,2 (T/F),match_flag,INCLUDE_BINARY,"Address/email match flag, computed at checkout. Encoded T=1, F=0, NA=-1."
V1,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V2,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V3,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V4,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V5,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V6,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V7,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V8,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V9,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V10,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V11,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V12,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V13,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V14,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V15,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V16,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V17,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V18,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V19,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V20,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V21,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V22,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V23,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V24,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V25,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V26,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V27,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V28,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V29,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V30,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V31,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V32,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V33,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V34,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V35,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V36,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V37,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V38,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V39,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V40,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V41,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V42,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V43,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V44,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V45,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V46,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V47,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V48,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V49,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V50,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V51,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V52,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V53,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V54,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V55,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V56,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V57,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V58,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V59,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V60,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V61,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V62,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V63,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V64,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V65,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V66,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V67,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V68,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V69,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V70,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V71,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V72,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V73,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V74,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V75,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V76,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V77,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V78,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V79,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V80,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V81,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V82,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V83,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V84,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V85,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V86,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V87,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V88,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V89,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V90,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V91,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V92,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V93,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V94,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V95,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V96,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V97,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V98,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V99,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V100,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V101,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V102,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V103,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V104,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V105,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V106,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V107,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V108,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V109,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V110,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V111,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V112,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V113,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V114,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V115,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V116,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V117,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V118,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V119,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V120,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V121,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V122,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V123,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V124,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V125,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V126,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V127,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V128,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V129,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V130,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V131,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V132,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V133,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V134,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V135,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V136,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V137,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V138,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V139,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V140,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V141,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V142,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V143,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V144,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V145,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V146,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V147,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V148,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V149,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V150,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V151,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V152,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V153,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
