feature,importance
C1,4.615212484161411
V306,4.440358353818365
C14,3.3376848151836507
card_7d_fraud_rate,3.2941108701193187
card_1h_fraud_rate,3.1808827246641735
card_all_t_since_last_fraud,3.1746861472399597
card_all_fraud_rate,3.0713456700650386
card1,3.0099447818018237
TransactionAmt,2.923437865032736
C13,2.8947233672606063
P_emaildomain,2.2792063453415596
addr1,2.129795700807032
D3,2.05595078745572
V308,2.043358086828726
M5,2.0082214116699597
D2,1.891443473233381
card_24h_fraud_rate,1.6960532142216365
card_24h_fraud_count,1.5962476872483204
card_24h_t_since_last_fraud,1.5074847409981709
V279,1.434293126376586
V258,1.4029711807175997
DeviceInfo,1.3694054931679431
card_7d_t_since_last_fraud,1.2812195639939583
V280,1.0358326123577273
M6,0.9737921989232844
C6,0.9675256101367588
C4,0.9276660487956725
V307,0.9056228327336795
card_3d_fraud_rate,0.8676669732479079
ProductCD,0.835660507511671
D15,0.825010274665615
D10,0.7646997638732905
card_all_t_since_last,0.7284450250990951
V70,0.7191972399275242
C11,0.699737966060958
card_7d_fraud_count,0.6973605648214373
card_1h_t_since_last,0.6864443750567607
card2,0.6726161761377013
C2,0.6665110894170543
D5,0.649988100571332
D8,0.6229962361576797
C5,0.6191481044364084
V187,0.6075241586844925
R_emaildomain,0.5856776338918162
id_19,0.5708053379192776
V312,0.5636412736384798
dist1,0.5584519646231495
id_33,0.5530397343482366
card_6h_fraud_rate,0.5522185352012914
id_20,0.5313141397084378
V293,0.52958955633946
M4,0.5239779189317344
V82,0.5188059468404324
C9,0.49818641397183056
id_31,0.4951176167569604
card_all_tx_count,0.4315928944762952
V283,0.40923098600350766
V286,0.40526812539491414
C8,0.40105918649316874
V91,0.3844785899933964
D1,0.38121315214628204
card_3d_tx_count,0.3779836218442773
card_all_uniq_addrs,0.37477851536888696
id_02,0.35941651517064377
card_3d_t_since_last_fraud,0.3576694149001339
card_24h_tx_count,0.3567271928499709
card_24h_t_since_last,0.34341720227988226
D4,0.3288642663093088
card_all_amt_std,0.3211172891590941
D13,0.29482807192905947
card5,0.28456583216197373
V311,0.28385234605849524
card_7d_t_since_last,0.2815771579601167
card_all_uniq_devs,0.28136405232750195
card_1h_amt_max,0.2760528772116598
V62,0.26649776503955264
M3,0.25746449858250736
V264,0.24264716654733517
V29,0.236858144038616
card_1h_amt_sum,0.22947457454506512
card_all_uniq_mails,0.2286521736152822
V285,0.22842290959946357
V83,0.22266971587932083
card_all_amt_max,0.2224420987581995
card_all_amt_min,0.2199914137556702
id_09,0.21821551091778918
card_3d_amt_sum,0.21443023398385683
card_6h_fraud_count,0.21268109595966053
V243,0.20942234987907446
V317,0.20412035850261462
V45,0.1999652126753361
V165,0.19767834602941176
card_3d_fraud_count,0.18568942077181197
V87,0.18190507964188035
card3,0.17832707372739598
V90,0.1759999187064385
V281,0.1737126707928659
card_all_fraud_count,0.17257502224754023
card_all_amt_sum,0.1694525541722175
id_18,0.16071517769698115
card_3d_t_since_last,0.1562640307307334
id_38,0.155255999543622
card_1h_amt_min,0.15471054134594417
V74,0.15386785894655225
D11,0.15376189022664746
V129,0.15080974844715983
id_05,0.15075067227292785
M9,0.14923418456471502
id_13,0.14863505865379012
addr2,0.14605502210136034
V149,0.1443097088575588
card_7d_tx_count,0.14387301026471463
card6,0.14124545056957713
card_24h_amt_sum,0.1411545024741079
V201,0.13862287338281484
id_01,0.1372821198708718
V314,0.13588772796689091
C3,0.1334767162328395
card_7d_amt_min,0.13135021637039346
V10,0.12812886003554666
id_15,0.12786176101283905
V309,0.11782783220544409
card_7d_amt_sum,0.11602679412650013
V159,0.11497566673373752
M2,0.11403212058831298
card_1h_t_since_last_fraud,0.11396567754477582
card_6h_amt_sum,0.10813486786221108
V102,0.10708102746019456
id_30,0.10696026375273794
card_6h_t_since_last,0.10652033947995587
V310,0.10513876695977091
V151,0.10480757535340075
C10,0.10390045858489014
V48,0.10032867619380412
id_06,0.09786755085674514
card_24h_amt_min,0.09710815506274156
card_3d_amt_max,0.09531633505625962
id_28,0.09436892702083086
V44,0.09270020990370202
card_24h_amt_max,0.0924328811396312
V30,0.0905427915843702
V61,0.08992025046834161
V73,0.08795157152166606
card_6h_amt_min,0.08717567836726658
dist2,0.08623282792813444
card_3d_amt_min,0.08411851578449503
V294,0.083361307496652
D6,0.08253656701959412
card4,0.08178064386729411
V71,0.08140566999999792
V313,0.08006032827134076
id_25,0.07967867999306179
id_16,0.07671659729915183
card_7d_amt_max,0.0742602906804417
V296,0.07342375725658912
id_37,0.07024495096298286
id_14,0.06817917878719709
D12,0.0679832990596052
V37,0.06786759189374811
