reviewerID,asin,unixReviewTime,rating,similarity_score,anomaly_probability
AO94DHGC771SJ,0528881469,1370131200,5.0,0.3942,0.6058
AMO214LNFCEI4,0528881469,1290643200,1.0,0.4331,0.5669
A3N7T0DY83Y4IG,0528881469,1283990400,3.0,0.3041,0.6959
A1H8PY3QHMQQA0,0528881469,1290556800,2.0,0.4003,0.5997
A24EV6RXELQZ63,0528881469,1317254400,1.0,0.399,0.601
A2JXAZZI9PHK9Z,0594451647,1388707200,5.0,0.3115,0.6885
A2P5U7BDKKT7FW,0594451647,1398556800,2.0,0.3667,0.6333
AAZ084UMH8VZ2,0594451647,1399161600,5.0,0.3331,0.6669
AEZ3CR6BKIROJ,0594451647,1405036800,4.0,0.3827,0.6173
A3BY5KCNQZXV5U,0594451647,1390176000,5.0,0.3296,0.6704
A7S2B0I67WNWB,0594481813,1397606400,4.0,0.2984,0.7016
A3HICVLF4PFFMN,0594481813,1399248000,5.0,0.4255,0.5745
ANSKSPEEAKY7S,0594481813,1372032000,5.0,0.2302,0.7698
A2QBZA4S1ROX9Q,0594481813,1369440000,3.0,0.376,0.624
ANY6JUFM0GH8U,0594481813,1394323200,5.0,0.3886,0.6114
AT09WGFUM934H,0594481813,1377907200,3.0,0.409,0.591
AGAKHE014LQFU,0594481813,1379462400,3.0,0.3427,0.6573
A1S6B5QFWGVL5U,0594481813,1372291200,4.0,0.3638,0.6362
A20XXTXWF2TCPY,0972683275,1405123200,5.0,0.3807,0.6193
A2IDCSC6NVONIZ,0972683275,1367280000,5.0,0.476,0.524
A1EDI0X3GI1SK7,0972683275,1323993600,5.0,0.3762,0.6238
A3BMUBUC1N77U8,0972683275,1385164800,4.0,0.4635,0.5365
AVRFGGCCCR6QU,0972683275,1283126400,4.0,0.3506,0.6494
A3UOSOCRKS3WIH,0972683275,1368316800,5.0,0.3329,0.6671
A371ZZ95ZQEIZV,0972683275,1389052800,4.0,0.3536,0.6464
A7060R14RJF3I,0972683275,1368835200,4.0,0.3282,0.6718
A26QCCO0101CO1,0972683275,1361404800,5.0,0.4096,0.5904
APBF796U7GUTV,0972683275,1331942400,5.0,0.3999,0.6001
A2HLNXOYLMERTC,0972683275,1397606400,5.0,0.4567,0.5433
A3CCITVF0WL6KE,0972683275,1357689600,5.0,0.3774,0.6226
AYQNWE3AX4H08,0972683275,1374105600,5.0,0.3663,0.6337
A3P24ZSF9IQRJJ,0972683275,1402617600,5.0,0.4527,0.5473
A1JI3XL5ME8CWM,0972683275,1336435200,4.0,0.3911,0.6089
AQBLWW13U66XD,0972683275,1375574400,5.0,0.2917,0.7083
AUKEU9CW56TT4,0972683275,1396828800,5.0,0.3265,0.6735
A23A7OH3AM0PDA,0972683275,1296086400,4.0,0.3871,0.6129
A12AU3CNAWYO5D,0972683275,1356220800,5.0,0.3457,0.6543
A5O0P0JV6PLU3,0972683275,1353801600,5.0,0.3359,0.6641
A27X48PMUGK6U4,0972683275,1290211200,5.0,0.3743,0.6257
A2KQDWZZUBBNOJ,0972683275,1306800000,4.0,0.3849,0.6151
A27XULAA9X5ZGQ,0972683275,1329436800,5.0,0.3778,0.6222
A3IIGCFLKVFW8M,0972683275,1393459200,5.0,0.432,0.568
A20VSTDILG9K7H,0972683275,1402617600,4.0,0.4276,0.5724
A3VKO21KYDJQ2W,0972683275,1310428800,3.0,0.3305,0.6695
A1MSO6LERG39PC,0972683275,1347494400,5.0,0.3769,0.6231
A20Q4FIBCAG2ZV,0972683275,1366848000,5.0,0.3889,0.6111
A1980MGZXSGJP,0972683275,1361059200,5.0,0.4228,0.5772
A1GLL5CJ1SFAMS,0972683275,1326326400,5.0,0.3077,0.6923
A2683OJ85CLWFA,0972683275,1360454400,5.0,0.3609,0.6391
A3M6S7Y1FNPOLD,0972683275,1355097600,3.0,0.3375,0.6625
AOU1TM9UA1BZF,0972683275,1388620800,5.0,0.4123,0.5877
A3S5643F4JNLQQ,0972683275,1373587200,5.0,0.5031,0.4969
AJIA55AVU0CUS,0972683275,1364947200,4.0,0.3745,0.6255
A3C51ESBUD8QAJ,0972683275,1324598400,4.0,0.4439,0.5561
A3IC6OB22INS9,0972683275,1369353600,4.0,0.3999,0.6001
A3ISZ8KLXYYI7P,0972683275,1390348800,5.0,0.3919,0.6081
